millis,pdsi,system:index
1268287200000,-0.5726705792259357,20100311
1268719200000,-0.543440690350303,20100316
1269151200000,-0.49104046084302166,20100321
1269583200000,-0.5190104501418749,20100326
1270015200000,-0.5732903187308566,20100331
1270447200000,-0.5864642974337062,20100405
1270879200000,-0.6025570108050404,20100410
1271311200000,-0.5896739732668586,20100415
1271743200000,-0.49571872918894366,20100420
1272175200000,-0.3221038784411327,20100425
1272607200000,-0.10939654933859319,20100430
1273039200000,0.01382174921595784,20100505
1273471200000,0.24214287962455228,20100510
1273903200000,0.39836157145292167,20100515
1274335200000,0.518636833572888,20100520
1274767200000,0.6974963568057331,20100525
1275199200000,0.8092918056220171,20100530
1275631200000,0.9316926079830786,20100604
1276063200000,1.026810877375473,20100609
1276495200000,1.1177550190791616,20100614
1276927200000,1.2138037059713231,20100619
1277359200000,1.2911224511807546,20100624
1277791200000,1.300765440002004,20100629
1278223200000,1.324552285981502,20100704
1278655200000,1.3409013902160372,20100709
1279087200000,1.348887811172735,20100714
1279519200000,1.3433075666881609,20100719
1279951200000,1.3063081452440513,20100724
1280383200000,1.2406297843305416,20100729
1280815200000,1.1721850551028765,20100803
1281247200000,1.1051216483260125,20100808
1281679200000,1.04278668026909,20100813
1282111200000,0.9782045683852602,20100818
1282543200000,0.9127719232606467,20100823
1282975200000,0.8482123992369889,20100828
1283407200000,0.7855260464527951,20100902
1283839200000,0.7131029183806351,20100907
1284271200000,0.636912112550381,20100912
1284703200000,0.5546452302959592,20100917
1285135200000,0.4674397380279923,20100922
1285567200000,0.35619494324508494,20100927
1285999200000,0.25720126115908626,20101002
1286431200000,0.3355025953155028,20101007
1286863200000,0.3944203792940726,20101012
1287295200000,0.45213948192314857,20101017
1287727200000,0.5301414721293956,20101022
1288159200000,0.8660443317257337,20101027
1288591200000,1.139234928556767,20101101
1289023200000,1.2707817975457547,20101106
1289455200000,1.4151762139856168,20101111
1289887200000,1.5087003030869048,20101116
1290319200000,1.6444238527534967,20101121
1290751200000,1.6671263041690845,20101126
1291183200000,1.6874766734563482,20101201
1291615200000,1.7053091950176755,20101206
1292047200000,1.6899096420702453,20101211
1292479200000,1.701786179189753,20101216
1292911200000,2.1640905669832264,20101221
1293343200000,2.512335342559076,20101226
1293775200000,2.8389554612719547,20101231
1294207200000,3.094738748054584,20110105
1294639200000,3.3039733654504797,20110110
1295071200000,3.4414557392587275,20110115
1295503200000,3.3746545224473965,20110120
1295935200000,3.2961419481309964,20110125
1296367200000,3.1789138698292683,20110130
1296799200000,3.065078031498583,20110204
1297231200000,2.942816652074503,20110209
1297663200000,2.8148289703065372,20110214
1298095200000,2.7057856151227777,20110219
1298527200000,2.608421977126883,20110224
1298959200000,2.5338443891345315,20110301
1299391200000,2.4586287447297943,20110306
1299823200000,2.4046134648017228,20110311
1300255200000,2.4176779943952766,20110316
1300687200000,2.497231455004629,20110321
1301119200000,2.632660680084798,20110326
1301551200000,2.753168382293414,20110331
1301983200000,2.8734122899898202,20110405
1302415200000,3.0361103308399096,20110410
1302847200000,3.1513975347216516,20110415
1303279200000,3.1489290720251946,20110420
1303711200000,3.066564553371059,20110425
1304143200000,2.988190942078016,20110430
1304575200000,2.9270816526407692,20110505
1305007200000,2.857821981142563,20110510
1305439200000,2.8596095410971185,20110515
1305871200000,2.8922220086940977,20110520
1306303200000,2.90630162704444,20110525
1306735200000,2.9598830527642237,20110530
1307167200000,3.0801257381675238,20110604
1307599200000,3.2516693614960626,20110609
1308031200000,3.3974078310557485,20110614
1308463200000,3.5169632309549645,20110619
1308895200000,3.6064194324924275,20110624
1309327200000,3.7465006423838587,20110629
1309759200000,3.90382919435677,20110704
1310191200000,4.024281903506192,20110709
1310623200000,4.150330000944075,20110714
1311055200000,4.25365302072218,20110719
1311487200000,4.305224823747405,20110724
1311919200000,4.326505464471781,20110729
1312351200000,4.3389457830009315,20110803
1312783200000,4.28017212417386,20110808
1313215200000,4.2215228627150205,20110813
1313647200000,4.162092962961839,20110818
1314079200000,4.10056123665658,20110823
1314511200000,4.032836063689035,20110828
1314943200000,3.9287233877953827,20110902
1315375200000,3.8229287638102982,20110907
1315807200000,3.7576790866537797,20110912
1316239200000,3.715559570930754,20110917
1316671200000,3.665409965325844,20110922
1317103200000,3.5952540173594456,20110927
1317535200000,3.5133736561334135,20111002
1317967200000,3.6624757239235577,20111007
1318399200000,3.803775474562892,20111012
1318831200000,3.8832535680648026,20111017
1319263200000,3.939294464892124,20111022
1319695200000,3.9552733400570865,20111027
1320127200000,3.9376167992474165,20111101
1320559200000,3.8149984640441827,20111106
1320991200000,3.658507350139546,20111111
1321423200000,3.5097299115880087,20111116
1321855200000,3.3825637909897384,20111121
1322287200000,3.2484754742889383,20111126
1322719200000,3.1089192646754635,20111201
1323151200000,2.9502443679349857,20111206
1323583200000,2.767062320703381,20111211
1324015200000,2.5674077576489203,20111216
1324447200000,2.357358339453241,20111221
1324879200000,2.162498602368712,20111226
1325311200000,2.0005071494962507,20111231
1325743200000,1.8425690347566976,20120105
1326175200000,1.6873176927696376,20120110
1326607200000,1.5496418953494404,20120115
1327039200000,1.4008701277907298,20120120
1327471200000,1.300507221488109,20120125
1327903200000,1.1866239057555632,20120130
1328335200000,1.0918170537390166,20120204
1328767200000,0.9878644132556292,20120209
1329199200000,0.8846843975138067,20120214
1329631200000,0.7764593500615048,20120219
1330063200000,0.578111753683201,20120224
1330495200000,0.4150877073172858,20120229
1330927200000,0.22426439517061877,20120305
1331359200000,0.030803645452980012,20120310
1331791200000,-0.19261481162223884,20120315
1332223200000,-0.2608338218281232,20120320
1332655200000,-0.34480156559610475,20120325
1333087200000,-0.38004513131747636,20120330
1333519200000,-0.3415864432216589,20120404
1333951200000,-0.28877978228026757,20120409
1334383200000,-0.15702780218008267,20120414
1334815200000,-0.12926670928756942,20120419
1335247200000,-0.08908697475543087,20120424
1335679200000,-0.016083849636122118,20120429
