imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0048404,Die Mädels vom Immenhof,Die Mädels vom Immenhof,1955,1955-08-11,"Comedy, Drama, Family",87,West Germany,"German, English",Wolfgang Schleif,"Ursula Bruns, Erich Ebermayer",Arca-Filmproduktion GmbH,"Angelika Meissner, Heidi Brühl, Christiane König, Margarete Haagen, Paul Henckels, Paul Klinger, Josef Sieber, Matthias Fuchs, Tilo von Berlepsch, Dirk Dautzenberg, Robert Fietz, Karl Junge, Ruth Lommel, Hans Obermeyer, Peter Tost","The story is set in 1954. After their flight from East Prussia following WW II, the orphaned sisters Angela, Barbara (nicknamed Dick) and Brigitte (Dalli) have settled with their ...",6.3,316,,,,,3.0,5.0
tt0099430,Dimenticare Palermo,Dimenticare Palermo,1990,1990-02-16,Thriller,100,"Italy, France",Italian,Francesco Rosi,"Edmonde Charles-Roux, Tonino Guerra",Cecchi Gori Group Leopard,"Jim Belushi, Mimi Rogers, Joss Ackland, Philippe Noiret, Vittorio Gassman, Carolina Rosi, Harry Davis, Marco Leonardi, Ronald Yamamoto, Marino Masé, Vyto Ruginis, Stefano Madia, Tiziana Stella, Luigi Laezza, Sal Borgese","Carmine Bonavia wins election as the mayor of New York on a promise to legalize drugs. After the election, he marries Carrie and goes to his ancestral home of Sicily for their honeymoon. In...",5.6,438,ITL 15000000000,,,,10.0,4.0
tt0137439,Racconto d'autunno,Conte d'automne,1998,1998-09-25,"Comedy, Drama, Romance",112,France,French,Éric Rohmer,Éric Rohmer,Les Films du Losange,"Marie Rivière, Béatrice Romand, Alain Libolt, Didier Sandre, Alexia Portal, Stéphane Darmon, Aurélia Alcaïs, Matthieu Davette, Yves Alcaïs","A widow's best friend tries to find her a new husband, but the ad posted in the newspaper attracts more than one possibility.",7.5,4296,,$ 2205339,$ 2221438,81.0,38.0,64.0
tt0881233,Darling,Darling,2007,2007-11-07,"Biography, Drama",93,France,French,Christine Carrière,"Pascal Arnold, Christine Carrière",Rectangle Productions,"Marina Foïs, Guillaume Canet, Océane Decaudain, Anne Benoît, Marc Brunet, Sissi Duparc, Hervé Lassïnce, Eloïse Charretier, Daniel Milgram, Etienne Allemand, Samuel Allemand, Christel Baras, Kate Blanchard, Olivier Blin, Raphaël Bouvet","On a farm in the West of France, Catherine a plump little girl, dreams of escaping her joyless life. Her parents do not seem to know what a heart is and her father can get violent ...",6.7,412,,,$ 1206498,,3.0,2.0
tt1603862,Jashnn: The Music Within,Jashnn: The Music Within,2009,2009-07-17,"Drama, Musical, Romance",125,India,"Hindi, English","Hasnain Hyderabadwala, Raksha Mistry",Shagufta Rafique,NH Studioz,"Adhyayan Suman, Shahana Goswami, Natasha Jain, Atul Kinagi, Keshav Nadkarni, Humayun Saeed, Rajendra Sethi, Anjana Sukhani",A singer faces challenges after falling in love with a woman whose brother is having an affair with his sister.,3.8,245,,,,,3.0,1.0
tt4665976,Forever Tomorrow,Forever Tomorrow,2016,2016-12-01,Drama,95,UK,English,Benjamin Rider,Benjamin Rider,BR Productions and Riding High Pictures,"Daniel Garcia, Matthew Hartley, Alice Pitt-Carter, Eric Richard, Julia Papp, Yuna Shin, Kim Hardy, Kirsty-Marie Day, Ethan Chapples, Rebecca Tromans, Ben Gardner Gray, Laurie Field, Alison Brougham, Augustina Amoa, Franck Jeuffroy","A narrative of addiction and redemption is weaved out of the lives of those attending AA meetings, the turbulent life of several young adults and the relationships Aaron, a rent boy, and his clients share.",6.7,144,GBP 3500,,,,2.0,2.0
tt1612774,Rubber,Rubber,2010,2010-11-10,"Comedy, Fantasy, Horror",82,"France, Angola",English,Quentin Dupieux,Quentin Dupieux,Realitism Films,"Stephen Spinella, Jack Plotnick, Wings Hauser, Roxane Mesquida, Ethan Cohn, Charley Koontz, Daniel Quinn, Devin Brochu, Hayley Holmes, Haley Ramm, Cecelia Antoinette, David Bowe, Remy Thorne, Tara Jean O'Brien, Thomas F. Duffy","A homicidal car tire, discovering it has destructive psionic power, sets its sights on a desert town once a mysterious woman becomes its obsession.",5.8,33521,$ 500000,$ 100370,$ 101729,59.0,195.0,239.0
tt10735778,Nashi Kotyky,Nashi Kotyky,2020,2020-01-30,Comedy,110,"Ukraine, USA, Canada","Ukrainian, Russian",Volodymyr Tykhyy,Volodymyr Tykhyy,Bedlam Productions,"Dmytro Tuboltsev, Stanislav Bzhezinskyi, Petro Mykytyuk, Vira Klymkovetska, Dmytro Homyak, Yaroslav Fedorchuk, Sergey Solopay, Mikhail Kukuyuk, Volodymyr Barabanov, Volodymyr Beliayev, Maksym Brit, Serhii Denha, Roman Halaimov, Borys Heorhievskiy, Yevhenii Hryhoriev","In 2014 Russia's hybrid war against Ukraine turns hot. An engineer, actor, soccer coach and florist volunteer to fight on the front line. Unaware of the pivotal role they will play in the war, they discover the meaning of true leadership.",8.4,682,,,$ 350515,,19.0,
tt0072196,Spasmo,Spasmo,1974,1974-02-16,"Mystery, Thriller",94,Italy,"English, Italian",Umberto Lenzi,"Pino Boller, Pino Boller",Rewind Film,"Robert Hoffmann, Suzy Kendall, Ivan Rassimov, Adolfo Lastretti, Franco Silva, Mario Erpichini, Maria Pia Conte, Luigi Antonio Guerra, Rosita Torosh, Monica Monet, Guido Alberti",Christian (Robert Hoffman) and his girlfriend are taking a walk on a deserted beach when they discover a woman's body lying. A closer look proves that she's alive. The next day Christian ...,6.2,1504,,,,,33.0,59.0
tt5029220,Kings Bay,Kings Bay,2017,2017-01-27,Thriller,94,Norway,Norwegian,Stig Svendsen,"Ole-Arild Svendsen, Stig Svendsen",Filmkameratene A/S,"Jørgen Langhelle, Maria Bock, Erik Hivju, Erik Smith Meyer, André Sørum, Kim Sørensen, Kari Bremnes, Kristian Figenschow, Marius Lien, Ketil Høegh, Eirik Junge Eliassen, Svein Harry Hauge, J.I. Falck, Bernt Bjørn, Ragna Schwenke","21 died in the explosion in the kings bay-accident in Ny-Ålesund in Spitsbergen i 1962. The accident led to the fall of the Norwegian labor party government ruling since WW2. Was this really an accident, and was it under Norwegian control?",5.8,390,,,$ 296392,,2.0,4.0
